Name, Date, Description, IsHoliday, IsWorkday
元旦, 2017-01-01, , 1, 0
元旦补休, 2017-01-02, , 1, 0
春节假期补班, 2017-01-22, , 0, 1
春节假期, 2017-01-27, , 1, 0
春节假期, 2017-01-28, , 1, 0
春节假期, 2017-01-29, , 1, 0
春节假期, 2017-01-30, , 1, 0
春节假期, 2017-01-31, , 1, 0
春节假期, 2017-02-01, , 1, 0
春节假期, 2017-02-02, , 1, 0
春节假期补班, 2017-02-04, , 0, 1
清明节补班, 2017-04-01, , 0, 1
清明假期, 2017-04-02, , 1, 0
清明假期, 2017-04-03, , 1, 0
清明节, 2017-04-04, , 1, 0
劳动节假期, 2017-04-29, , 1, 0
劳动节假期, 2017-04-30, , 1, 0
劳动节, 2017-05-01, , 1, 0
端午节补班, 2017-05-27, , 0, 1
端午假期, 2017-05-28, , 1, 0
端午假期, 2017-05-29, , 1, 0
端午节, 2017-05-30, , 1, 0
中秋国庆补班, 2017-09-30, , 0, 1
国庆节, 2017-10-01, , 1, 0
国庆假期, 2017-10-02, , 1, 0
国庆假期, 2017-10-03, , 1, 0
中秋节, 2017-10-04, , 1, 0
国庆假期, 2017-10-05, , 1, 0
国庆假期, 2017-10-06, , 1, 0
国庆假期, 2017-10-07, , 1, 0
国庆假期, 2017-10-08, , 1, 0
